metric,metric_label,viewing_duration,n,mean,sd,median,q1,q3,sem,ci95_low,ci95_high,minimum,maximum
Reading,Reading ability (mean of 3),5min,0,,,,,,,,,,
Reading,Reading ability (mean of 3),10min,0,,,,,,,,,,
Reading,Reading ability (mean of 3),15min,0,,,,,,,,,,
Reading,Reading ability (mean of 3),20min,0,,,,,,,,,,
Reading,Reading ability (mean of 3),25min,0,,,,,,,,,,
Reading,Reading ability (mean of 3),30min,0,,,,,,,,,,
Output,Writing output ability (mean of 3),5min,0,,,,,,,,,,
Output,Writing output ability (mean of 3),10min,0,,,,,,,,,,
Output,Writing output ability (mean of 3),15min,0,,,,,,,,,,
Output,Writing output ability (mean of 3),20min,0,,,,,,,,,,
Output,Writing output ability (mean of 3),25min,0,,,,,,,,,,
Output,Writing output ability (mean of 3),30min,0,,,,,,,,,,
Reading_Q1,Reading question 1,5min,0,,,,,,,,,,
Reading_Q1,Reading question 1,10min,0,,,,,,,,,,
Reading_Q1,Reading question 1,15min,0,,,,,,,,,,
Reading_Q1,Reading question 1,20min,0,,,,,,,,,,
Reading_Q1,Reading question 1,25min,0,,,,,,,,,,
Reading_Q1,Reading question 1,30min,0,,,,,,,,,,
Reading_Q2,Reading question 2,5min,0,,,,,,,,,,
Reading_Q2,Reading question 2,10min,0,,,,,,,,,,
Reading_Q2,Reading question 2,15min,0,,,,,,,,,,
Reading_Q2,Reading question 2,20min,0,,,,,,,,,,
Reading_Q2,Reading question 2,25min,0,,,,,,,,,,
Reading_Q2,Reading question 2,30min,0,,,,,,,,,,
Reading_Q3,Reading question 3,5min,0,,,,,,,,,,
Reading_Q3,Reading question 3,10min,0,,,,,,,,,,
Reading_Q3,Reading question 3,15min,0,,,,,,,,,,
Reading_Q3,Reading question 3,20min,0,,,,,,,,,,
Reading_Q3,Reading question 3,25min,0,,,,,,,,,,
Reading_Q3,Reading question 3,30min,0,,,,,,,,,,
Output_Q1,Output question 1,5min,0,,,,,,,,,,
Output_Q1,Output question 1,10min,0,,,,,,,,,,
Output_Q1,Output question 1,15min,0,,,,,,,,,,
Output_Q1,Output question 1,20min,0,,,,,,,,,,
Output_Q1,Output question 1,25min,0,,,,,,,,,,
Output_Q1,Output question 1,30min,0,,,,,,,,,,
Output_Q2,Output question 2,5min,0,,,,,,,,,,
Output_Q2,Output question 2,10min,0,,,,,,,,,,
Output_Q2,Output question 2,15min,0,,,,,,,,,,
Output_Q2,Output question 2,20min,0,,,,,,,,,,
Output_Q2,Output question 2,25min,0,,,,,,,,,,
Output_Q2,Output question 2,30min,0,,,,,,,,,,
Output_Q3,Output question 3,5min,0,,,,,,,,,,
Output_Q3,Output question 3,10min,0,,,,,,,,,,
Output_Q3,Output question 3,15min,0,,,,,,,,,,
Output_Q3,Output question 3,20min,0,,,,,,,,,,
Output_Q3,Output question 3,25min,0,,,,,,,,,,
Output_Q3,Output question 3,30min,0,,,,,,,,,,
