video_condition,metric,label_en,n,missing,mean,sd,sem,ci95_low,ci95_high,median,q1,q3,minimum,maximum
short,Total_task_sec,Total task time,26,0,374.2091538461539,163.42495874980474,32.05027129512886,308.20038448763376,440.2179232046741,324.6,252.14024999999998,474.811,149.331,728.71
short,Total_answer_sec,Total answer time,26,0,371.9993461538461,163.55994540912326,32.07674435704962,305.93605450369074,438.06263780400144,322.539,246.53475,472.57000000000005,149.331,726.523
short,Latency_sec,Time to first input (sum),26,0,71.23353846153847,43.57492161436967,8.5457452159595,53.63324672726286,88.83383019581409,58.3865,47.00675,83.12625,23.13,199.061
short,Writing_sec,Writing time (sum),26,0,300.76580769230765,148.3068413858293,29.085364547140525,240.8633780865879,360.6682372980274,271.358,194.64450000000002,376.81425,95.988,642.395
short,Total_chars,Total character count,26,0,220.76923076923077,99.1606001160976,19.446993652752024,180.7173976062394,260.82106393222216,225.0,153.25,283.25,72.0,483.0
short,general_Latency,General: time to first input,26,0,17.32257692307692,15.721256380259376,3.083192040812986,10.972624049480467,23.672529796673373,12.279499999999999,9.5715,17.95675,3.638,63.252
short,general_Writing,General: writing time,26,0,51.412423076923076,39.5953991288615,7.765296646406137,35.41949526008377,67.40535089376237,48.4835,16.95375,74.78475,4.726,156.962
short,general_Chars,General: character count,26,0,43.53846153846154,40.182813011764885,7.880497986847662,27.308272119654056,59.768650957269024,31.0,17.25,57.25,2.0,142.0
short,content_Latency,Content: time to first input,26,0,17.370153846153844,27.351724960144374,5.364114588546116,6.3225530496567455,28.41775464265094,9.082,4.799,15.961,2.155,136.976
short,content_Writing,Content: writing time,26,0,49.737115384615386,40.16207877819765,7.876431669095404,33.515300703986426,65.95893006524435,35.132,21.807,66.064,10.942,185.528
short,content_Chars,Content: character count,26,0,36.5,25.81975987494849,5.063671516870859,26.071173292525714,46.928826707474286,27.5,15.75,49.0,5.0,90.0
