metric,label_en,n,condition_1,condition_2,test,statistic,p_raw,normality_p_difference,effect,effect_name,mean_difference,p_holm_within_metric,significance_holm
Total_task_sec,Total task time,26,short,med,Wilcoxon signed-rank,103.0,0.06688320636749268,0.03695926158467057,-0.4131054131054131,rank-biserial r,-60.869615384615386,0.20064961910247803,NS
Total_task_sec,Total task time,26,short,control,paired t-test,-1.4378726279498644,0.16287089639750507,0.8262421760858636,-0.2819900226145114,Cohen's dz,-39.02580769230769,0.32574179279501014,NS
Total_task_sec,Total task time,26,med,control,paired t-test,0.701015795304073,0.48976729126241436,0.5398981488477752,0.13748050844585513,Cohen's dz,21.843807692307692,0.48976729126241436,NS
Total_answer_sec,Total answer time,26,short,med,paired t-test,-1.9645025673604943,0.060680107236719995,0.7711251729723161,-0.3852706509797802,Cohen's dz,-48.12938461538462,0.18204032171016,NS
Total_answer_sec,Total answer time,26,short,control,paired t-test,-1.4466463485736665,0.16041874260186398,0.8148205898187445,-0.28371069079403366,Cohen's dz,-39.268807692307696,0.32083748520372796,NS
Total_answer_sec,Total answer time,26,med,control,paired t-test,0.31340133439165596,0.7565756465601465,0.06227910310315231,0.06146305844804119,Cohen's dz,8.860576923076936,0.7565756465601465,NS
Latency_sec,Time to first input (sum),26,short,med,Wilcoxon signed-rank,167.0,0.8416728973388672,0.008282631926027637,0.04843304843304843,rank-biserial r,3.8718461538461515,1.0,NS
Latency_sec,Time to first input (sum),26,short,control,Wilcoxon signed-rank,126.0,0.21726065874099731,0.011608202761930404,0.28205128205128205,rank-biserial r,1.7523076923076901,0.6517819762229919,NS
Latency_sec,Time to first input (sum),26,med,control,paired t-test,-0.23089170748226276,0.8192780830945973,0.10344403782378715,-0.04528158930687751,Cohen's dz,-2.1195384615384585,1.0,NS
Writing_sec,Writing time (sum),26,short,med,paired t-test,-2.042805556785983,0.05174991159673312,0.29795372867482506,-0.40062713063567307,Cohen's dz,-52.001230769230766,0.15524973479019935,NS
Writing_sec,Writing time (sum),26,short,control,paired t-test,-1.8223371418954104,0.08038810557737273,0.6951726747812905,-0.3573897171872924,Cohen's dz,-41.02111538461538,0.16077621115474547,NS
Writing_sec,Writing time (sum),26,med,control,paired t-test,0.4381082777512768,0.6650700533192934,0.48605884265960225,0.08592010220462647,Cohen's dz,10.980115384615399,0.6650700533192934,NS
Total_chars,Total character count,26,short,med,paired t-test,-2.6732163444716104,0.013040741266775914,0.0667974152984929,-0.5242608578659967,Cohen's dz,-45.88461538461539,0.03912222380032774,*
Total_chars,Total character count,26,short,control,Wilcoxon signed-rank,96.0,0.0434558381430289,0.02057688584156083,-0.452991452991453,rank-biserial r,-35.65384615384615,0.0869116762860578,NS
Total_chars,Total character count,26,med,control,paired t-test,0.5945639114208453,0.5574781996371139,0.14349354891207086,0.11660357640049777,Cohen's dz,10.23076923076923,0.5574781996371139,NS
general_Latency,General: time to first input,26,short,med,Wilcoxon signed-rank,154.0,0.599547415971756,0.0006293075878058281,0.1225071225071225,rank-biserial r,2.6465769230769234,1.0,NS
general_Latency,General: time to first input,26,short,control,Wilcoxon signed-rank,156.0,0.6348496079444885,0.00045167904829852373,0.1111111111111111,rank-biserial r,3.2637307692307695,1.0,NS
general_Latency,General: time to first input,26,med,control,paired t-test,0.24056593764085288,0.8118534011763613,0.7734600988034616,0.047178861936017454,Cohen's dz,0.6171538461538459,1.0,NS
general_Writing,General: writing time,26,short,med,Wilcoxon signed-rank,72.0,0.007290899753570557,8.975055426799699e-05,-0.5897435897435898,rank-biserial r,-33.587923076923076,0.02187269926071167,*
general_Writing,General: writing time,26,short,control,paired t-test,-2.205226265582536,0.036857636265090254,0.6037023483713738,-0.43248045231125753,Cohen's dz,-22.04953846153846,0.07371527253018051,NS
general_Writing,General: writing time,26,med,control,Wilcoxon signed-rank,162.0,0.7453929781913757,0.00020029132801630394,0.07692307692307693,rank-biserial r,11.538384615384615,0.7453929781913757,NS
general_Chars,General: character count,26,short,med,paired t-test,-2.1336757116084826,0.042864354060081274,0.845273428342018,-0.4184482341988701,Cohen's dz,-20.423076923076923,0.12859306218024383,NS
general_Chars,General: character count,26,short,control,paired t-test,-1.5432509354706028,0.13533479398304504,0.5239513245254346,-0.30265640901288166,Cohen's dz,-13.0,0.2706695879660901,NS
general_Chars,General: character count,26,med,control,paired t-test,0.6908190251409405,0.4960440389398405,0.41818870856855117,0.13548075729056924,Cohen's dz,7.423076923076923,0.4960440389398405,NS
content_Latency,Content: time to first input,26,short,med,Wilcoxon signed-rank,160.0,0.7078457474708557,5.837194871503262e-08,-0.08831908831908832,rank-biserial r,5.631730769230769,1.0,NS
content_Latency,Content: time to first input,26,short,control,Wilcoxon signed-rank,164.0,0.7835337817668915,1.6103972977289976e-07,0.06552706552706553,rank-biserial r,5.403615384615384,1.0,NS
content_Latency,Content: time to first input,26,med,control,Wilcoxon signed-rank,166.0,0.8221841156482697,0.003624422677495006,0.05413105413105413,rank-biserial r,-0.2281153846153843,1.0,NS
content_Writing,Content: writing time,26,short,med,Wilcoxon signed-rank,168.0,0.8612560033798218,0.015979066695280337,-0.042735042735042736,rank-biserial r,-5.166346153846155,0.8612560033798218,NS
content_Writing,Content: writing time,26,short,control,paired t-test,-1.234250504644294,0.22858635348407869,0.5557253352713432,-0.2420564387631922,Cohen's dz,-10.04223076923077,0.6857590604522361,NS
content_Writing,Content: writing time,26,med,control,paired t-test,-0.8166926408361281,0.4218186648895924,0.06816072910882523,-0.1601666043165785,Cohen's dz,-4.8758846153846145,0.8436373297791848,NS
content_Chars,Content: character count,26,short,med,Wilcoxon signed-rank,118.5,0.23638738851062902,4.3989496148763934e-05,-0.27076923076923076,rank-biserial r,-9.615384615384615,0.47277477702125803,NS
content_Chars,Content: character count,26,short,control,Wilcoxon signed-rank,97.5,0.08025874770788799,0.0005325487300250979,-0.4,rank-biserial r,-14.23076923076923,0.24077624312366397,NS
content_Chars,Content: character count,26,med,control,Wilcoxon signed-rank,135.0,0.3033080252524579,0.02978754504380477,-0.23076923076923078,rank-biserial r,-4.615384615384615,0.47277477702125803,NS
inquiry_Latency,Inquiry: time to first input,26,short,med,Wilcoxon signed-rank,163.0,0.7508737107887603,0.02967657261364505,-0.07122507122507123,rank-biserial r,-1.338192307692308,0.9094890654087067,NS
inquiry_Latency,Inquiry: time to first input,26,short,control,Wilcoxon signed-rank,134.0,0.3031630218029022,0.00027116304762303593,-0.23646723646723647,rank-biserial r,-4.675576923076923,0.9094890654087067,NS
inquiry_Latency,Inquiry: time to first input,26,med,control,Wilcoxon signed-rank,142.0,0.4082431197166443,0.0007913844874188568,-0.1908831908831909,rank-biserial r,-3.3373846153846154,0.9094890654087067,NS
inquiry_Writing,Inquiry: writing time,26,short,med,Wilcoxon signed-rank,167.0,0.8416728973388672,0.011621797034528572,0.04843304843304843,rank-biserial r,11.260576923076927,1.0,NS
inquiry_Writing,Inquiry: writing time,26,short,control,Wilcoxon signed-rank,131.0,0.26870664954185486,0.007742509509754872,0.2535612535612536,rank-biserial r,11.306307692307692,0.8061199486255646,NS
inquiry_Writing,Inquiry: writing time,26,med,control,Wilcoxon signed-rank,156.0,0.6348496079444885,0.0038297720788162868,0.1111111111111111,rank-biserial r,0.04573076923077005,1.0,NS
inquiry_Chars,Inquiry: character count,26,short,med,Wilcoxon signed-rank,135.0,0.3034056176344361,0.003777674422265851,-0.23076923076923078,rank-biserial r,-4.8076923076923075,0.9102168529033082,NS
inquiry_Chars,Inquiry: character count,26,short,control,Wilcoxon signed-rank,167.0,0.8289364470477645,0.04073262209776138,0.04843304843304843,rank-biserial r,0.8461538461538461,0.9102168529033082,NS
inquiry_Chars,Inquiry: character count,26,med,control,paired t-test,1.004506189451373,0.3247588932482629,0.5015176778639138,0.19699987159758775,Cohen's dz,5.653846153846154,0.9102168529033082,NS
emotion_Latency,Emotion: time to first input,26,short,med,Wilcoxon signed-rank,150.0,0.5316631495952606,0.0008143087266552513,0.1452991452991453,rank-biserial r,-0.3448076923076923,1.0,NS
emotion_Latency,Emotion: time to first input,26,short,control,paired t-test,-0.5367209350832559,0.5962049962209424,0.08386927555618238,-0.10525963543628031,Cohen's dz,-1.059807692307692,1.0,NS
emotion_Latency,Emotion: time to first input,26,med,control,Wilcoxon signed-rank,146.0,0.4677756428718567,0.0017078474723960897,-0.16809116809116809,rank-biserial r,-0.7149999999999999,1.0,NS
emotion_Writing,Emotion: writing time,26,short,med,paired t-test,-2.9338680365795664,0.007073905885926781,0.07013669869559772,-0.575378860339437,Cohen's dz,-26.383307692307692,0.02122171765778034,*
emotion_Writing,Emotion: writing time,26,short,control,Wilcoxon signed-rank,129.0,0.24723756313323975,0.009660062011953253,-0.26495726495726496,rank-biserial r,-17.814999999999994,0.4739001393318176,NS
emotion_Writing,Emotion: writing time,26,med,control,Wilcoxon signed-rank,128.0,0.2369500696659088,0.005931250960559279,0.2706552706552707,rank-biserial r,8.568307692307693,0.4739001393318176,NS
emotion_Chars,Emotion: character count,26,short,med,paired t-test,-1.5361856017707975,0.13705360787689944,0.24815646149697326,-0.30127078307421434,Cohen's dz,-14.73076923076923,0.4111608236306983,NS
emotion_Chars,Emotion: character count,26,short,control,Wilcoxon signed-rank,149.5,0.5089454883040834,0.020645770250780467,-0.14814814814814814,rank-biserial r,-11.846153846153847,1.0,NS
emotion_Chars,Emotion: character count,26,med,control,paired t-test,0.24012224834872153,0.8121935327514813,0.1723005286963553,0.04709184730684246,Cohen's dz,2.8846153846153846,1.0,NS
summary_Latency,Summary: time to first input,26,short,med,Wilcoxon signed-rank,126.0,0.21726065874099731,2.3639562796218747e-08,0.28205128205128205,rank-biserial r,-2.7234615384615384,0.6235620975494385,NS
summary_Latency,Summary: time to first input,26,short,control,Wilcoxon signed-rank,125.0,0.2078540325164795,1.8508076253097989e-06,0.28774928774928776,rank-biserial r,-1.1796538461538466,0.6235620975494385,NS
summary_Latency,Summary: time to first input,26,med,control,Wilcoxon signed-rank,169.0,0.8809217512607574,1.4291435434872785e-06,0.037037037037037035,rank-biserial r,1.5438076923076929,0.8809217512607574,NS
summary_Writing,Summary: writing time,26,short,med,paired t-test,0.19844560991368787,0.8443013829687364,0.15431834041571105,0.038918386051412165,Cohen's dz,1.8757692307692333,1.0,NS
summary_Writing,Summary: writing time,26,short,control,paired t-test,-0.2846170486319308,0.7782818971642986,0.06468767147943598,-0.05581799557213083,Cohen's dz,-2.4206538461538445,1.0,NS
summary_Writing,Summary: writing time,26,med,control,paired t-test,-0.5381149852330874,0.5952565213209637,0.7891932516824567,-0.10553303116385408,Cohen's dz,-4.296423076923077,1.0,NS
summary_Chars,Summary: character count,26,short,med,paired t-test,1.1010564505468328,0.2813607398631028,0.7599041624170577,0.2159349356502119,Cohen's dz,3.6923076923076925,0.8440822195893083,NS
summary_Chars,Summary: character count,26,short,control,paired t-test,0.7098397625484084,0.4843723788933877,0.6248696478810309,0.1392110307984001,Cohen's dz,2.576923076923077,0.9687447577867754,NS
summary_Chars,Summary: character count,26,med,control,paired t-test,-0.31066634218489203,0.758629685528998,0.6981875313144019,-0.06092668234681761,Cohen's dz,-1.1153846153846154,0.9687447577867754,NS
