category,participants_watched,participant_rate,total_view_sec,overall_view_time_share,mean_view_sec_all_participants,median_view_sec_all_participants,mean_within_participant_ratio_all,mean_within_participant_ratio_viewers
Entertainment,26,1.0,4742.145058221313,0.41042318303893094,182.39019454697356,181.5449826127694,0.41285405935768266,0.41285405935768266
Howto & Style,26,1.0,2075.2943237961567,0.17961257862375873,79.81901245369833,79.41235167435102,0.18261514577206378,0.18261514577206378
Sports,26,1.0,830.7506463789015,0.07189980913961441,31.951947937650058,31.4733425391477,0.07212202430094747,0.07212202430094747
Film & Animation,25,0.9615384615384616,815.5089284815566,0.07058066889873024,31.36572801852141,23.559191413475713,0.06829363130025619,0.07102537655226643
Pets & Animals,25,0.9615384615384616,620.6176763689928,0.05371322029552722,23.869910629576644,20.229683672,0.05278617598300216,0.05489762302232225
Gaming,25,0.9615384615384616,593.5875262758788,0.051373814793790634,22.830289472149182,17.15229078334225,0.05204607200217064,0.05412791488225746
Comedy,24,0.9230769230769231,479.83678880718475,0.041528915666550904,18.455261107968646,15.59024686553192,0.04025730198873745,0.04361207715446558
Science & Technology,22,0.8461538461538461,400.17906104903756,0.03463469843389417,15.391502348039905,15.046118525117809,0.033733568141957465,0.03986694416776792
Music,21,0.8076923076923077,259.1711504272946,0.022430745412526272,9.968121170280561,9.24970508857676,0.022690470895469956,0.028092963965819943
Education,16,0.6153846153846154,223.3542012131865,0.01933085999723033,8.590546200507173,3.412027187271035,0.019142678038989707,0.031106851813358278
News & Politics,16,0.6153846153846154,189.68682955025892,0.016417016225518236,7.295647290394574,0.921924443733215,0.015260894746006325,0.02479895396226028
People & Blogs,14,0.5384615384615384,129.4353625251245,0.011202372098099647,4.97828317404325,1.7743217985013349,0.011303251082258351,0.020991752009908365
Travel & Events,11,0.4230769230769231,99.36054152761454,0.008599456410878158,3.8215592895236363,0.0,0.008347780574048733,0.019731117720478822
Autos & Vehicles,12,0.46153846153846156,95.35356926560834,0.008252660964950122,3.667444971754167,0.0,0.008546945816409118,0.018518382602219757
