participant_id,included,note
A001,true,10分視聴データ採用
A002,true,10分視聴データ採用
A003,true,10分視聴データ採用
A004,true,10分視聴データ採用
A005,true,10分視聴データ採用
A006,true,10分視聴データ採用
A007,true,10分視聴データ採用
A008,true,10分視聴データ採用
A009,true,失敗開始セッションを除外して10分視聴データ採用
A010,true,10分視聴データ採用
A011,true,10分視聴データ採用
A012,true,10分視聴データ採用
A013,true,10分視聴データ採用
A014,false,視聴0.32分のため除外
A015,true,10分視聴データ採用
A016,true,10分視聴データ採用
A018,true,10分視聴データ採用
A019,true,10分視聴データ採用
A020,true,10分視聴データ採用
A021,true,10分視聴データ採用
A022,true,10分視聴データ採用
A023,true,10分視聴データ採用
A024,true,10分視聴データ採用
A025,true,10分視聴データ採用
A026,false,有効な10分視聴ログがないため除外
A027,true,10分視聴データ採用
A028,true,10分視聴データ採用
A029,false,視聴8.12分かつ非表示・非フォーカス区間あり
A031,true,AO32のログをA031として採用
A032,false,視聴0.77分のため除外
A033,true,10分視聴データ採用
A034,true,失敗開始セッションを除外して10分視聴データ採用
A035,true,10分視聴データ採用
A036,true,10分視聴データ採用
A037,true,10分視聴データ採用
A038,true,10分視聴データ採用
A039,true,10分視聴データ採用
A040,false,視聴1.61分のため除外
A041,true,10分視聴データ採用
A042,true,A042-V2の再実験ログを採用
A043,false,視聴0.26分のため除外
A044,true,10分視聴データ採用
A045,true,10分視聴データ採用
A046,true,10分視聴データ採用
A048,true,10分視聴データ採用
A051,true,約10分後の遅延末尾イベントを除外して採用
A052,false,視聴0.39分のため除外
A053,true,10分視聴データ採用
A054,true,10分視聴データ採用
A057,false,視聴7.20分のため除外
A061,true,10分視聴データ採用
A062,true,10分視聴データ採用
A063,true,失敗開始セッションを除外して10分視聴データ採用
A066,true,10分視聴データ採用
A067,true,A067-V2の再実験ログを採用
A068,true,約10分後の遅延末尾イベントを除外して採用
A069,false,A069-V2を含め有効な10分視聴ログなし
