source_participant_id,corrected_participant_id,action,reason
A014,,exclude,10分実験に対して0.32分・1動画のみのため除外
A029,,exclude,8.12分で非表示・非フォーカス区間もあり10分視聴として不足するため除外
AO32,A031,rename,A031が参加者IDをAO32と誤入力したため訂正
A032,,exclude,10分実験に対して0.77分・1動画のみのため除外
A040,,exclude,10分実験に対して1.61分・1動画のみのため除外
A042,,exclude,同じ動画を視聴し続けた旧実験ログのため除外
A042-V2,A042,rename,再実験したA042-V2の約11.86分ログをA042として採用
A043,,exclude,10分実験に対して0.26分・1動画のみのため除外
A052,,exclude,10分実験に対して0.39分・1動画のみのため除外
A057,,exclude,視聴記録が7.20分で10分条件を満たさないため除外
A067,,exclude,約9.55分の無記録区間がある旧実験ログのため除外
A067-V2,A067,rename,再実験したA067-V2の約10.89分ログをA067として採用
A069,,exclude,10分実験に対して0.56分・1動画のみのため除外
A069-V2,,exclude,再実験ログも0.24分以下で10分視聴として使用できないため除外
