participant_id,Mental_short,Mental_control,Mental_med,Physical_short,Physical_control,Physical_med,Temporal_short,Temporal_control,Temporal_med,Performance_rev_short,Performance_rev_control,Performance_rev_med,Effort_short,Effort_control,Effort_med,Frustration_short,Frustration_control,Frustration_med,Overall_short,Overall_control,Overall_med,Raw_TLX_short,Raw_TLX_control,Raw_TLX_med
A001,10.0,85.0,1.0,58.0,57.0,0.0,3.0,62.0,0.0,4.0,10.0,13.0,1.0,66.0,69.0,79.0,59.0,0.0,79.0,75.0,5.0,25.833333333333332,56.5,13.833333333333334
A002,54.0,80.0,5.0,14.0,64.0,0.0,4.0,16.0,1.0,14.0,42.0,16.0,6.0,54.0,55.0,21.0,48.0,1.0,10.0,65.0,0.0,18.833333333333332,50.666666666666664,13.0
A003,19.0,56.0,40.0,10.0,29.0,49.0,4.0,29.0,10.0,50.0,64.0,85.0,10.0,50.0,50.0,19.0,55.0,59.0,20.0,45.0,44.0,18.666666666666668,47.166666666666664,48.833333333333336
A004,1.0,66.0,16.0,25.0,74.0,10.0,1.0,16.0,3.0,3.0,49.0,8.0,1.0,67.0,7.0,45.0,67.0,2.0,59.0,72.0,13.0,12.666666666666666,56.5,7.666666666666667
A005,12.0,39.0,5.0,40.0,75.0,19.0,4.0,9.0,9.0,50.0,65.0,45.0,9.0,35.0,15.0,65.0,70.0,10.0,46.0,66.0,9.0,30.0,48.833333333333336,17.166666666666668
A006,31.0,77.0,6.0,66.0,64.0,16.0,15.0,26.0,7.0,44.0,11.0,8.0,9.0,61.0,4.0,35.0,63.0,3.0,64.0,68.0,8.0,33.333333333333336,50.333333333333336,7.333333333333333
A007,33.0,58.0,9.0,15.0,9.0,0.0,0.0,4.0,5.0,81.0,54.0,35.0,0.0,55.0,7.0,0.0,7.0,23.0,0.0,4.0,33.0,21.5,31.166666666666668,13.166666666666666
A008,9.0,50.0,6.0,57.0,45.0,5.0,13.0,62.0,5.0,17.0,82.0,4.0,12.0,61.0,19.0,12.0,56.0,5.0,16.0,60.0,5.0,20.0,59.333333333333336,7.333333333333333
A009,26.0,18.0,23.0,79.0,17.0,25.0,16.0,21.0,27.0,82.0,79.0,75.0,23.0,18.0,76.0,84.0,85.0,19.0,50.0,32.0,49.0,51.666666666666664,39.666666666666664,40.833333333333336
A010,5.0,14.0,1.0,4.0,80.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,46.0,1.0,4.0,90.0,1.0,2.0,35.0,1.0,2.6666666666666665,40.833333333333336,1.0
A011,2.0,15.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,45.0,20.0,50.0,0.0,15.0,35.0,55.0,80.0,16.0,0.0,50.0,0.0,17.833333333333332,21.666666666666668,18.166666666666668
A012,18.0,59.0,6.0,53.0,66.0,5.0,54.0,35.0,9.0,50.0,43.0,39.0,25.0,61.0,7.0,31.0,53.0,22.0,27.0,57.0,26.0,38.5,52.833333333333336,14.666666666666666
A013,19.0,75.0,20.0,36.0,60.0,31.0,18.0,53.0,15.0,52.0,68.0,39.0,51.0,76.0,50.0,53.0,74.0,33.0,30.0,76.0,25.0,38.166666666666664,67.66666666666667,31.333333333333332
A015,25.0,81.0,71.0,57.0,92.0,23.0,61.0,96.0,61.0,16.0,86.0,61.0,21.0,82.0,59.0,62.0,96.0,68.0,40.0,84.0,76.0,40.333333333333336,88.83333333333333,57.166666666666664
