metric,label_en,n,condition_1,condition_2,test,statistic,p_raw,normality_p_difference,effect,effect_name,mean_difference,p_holm_within_metric,significance_holm
Mental,Mental Demand,26,short,control,paired t-test,-4.828784478299918,5.806736681719802e-05,0.0755843759176695,-0.9470025492994322,Cohen's dz,-31.384615384615383,0.00011613473363439604,***
Mental,Mental Demand,26,short,med,paired t-test,1.0308007180288012,0.31250419859842055,0.8057740286508892,0.20215665291747353,Cohen's dz,4.076923076923077,0.31250419859842055,NS
Mental,Mental Demand,26,control,med,paired t-test,6.03072609090632,2.6704992534026653e-06,0.43112104283133695,1.1827226930255563,Cohen's dz,35.46153846153846,8.011497760207996e-06,***
Physical,Physical Demand,26,short,control,paired t-test,-1.3130723896478778,0.20108408042579737,0.32247476987316254,-0.25751468221440144,Cohen's dz,-8.884615384615385,0.20108408042579737,NS
Physical,Physical Demand,26,short,med,Wilcoxon signed-rank,36.0,0.00039429186506719904,0.03003671048622819,0.7948717948717948,rank-biserial r,21.192307692307693,0.0007885837301343981,***
Physical,Physical Demand,26,control,med,paired t-test,4.317504117832001,0.00021847793056159112,0.19993429455565273,0.8467322210324066,Cohen's dz,30.076923076923077,0.0006554337916847734,***
Temporal,Temporal Demand,26,short,control,paired t-test,-2.0801898224234483,0.04791298262341965,0.708619184491629,-0.40795878832747207,Cohen's dz,-12.23076923076923,0.04791298262341965,*
Temporal,Temporal Demand,26,short,med,Wilcoxon signed-rank,57.5,0.014287114462758387,0.004593022002574641,0.5833333333333334,rank-biserial r,12.653846153846153,0.028574228925516774,*
Temporal,Temporal Demand,26,control,med,paired t-test,5.020574982183569,3.533918072232033e-05,0.13833427072805168,0.9846157616772986,Cohen's dz,24.884615384615383,0.00010601754216696098,***
Performance_rev,Performance (reversed),26,short,control,paired t-test,-2.4358701903151556,0.022321371302712598,0.1785840695721821,-0.47771344742292116,Cohen's dz,-14.5,0.06696411390813779,NS
Performance_rev,Performance (reversed),26,short,med,paired t-test,-1.293433357299144,0.20768525668504464,0.579956245122804,-0.2536631510923141,Cohen's dz,-7.0,0.4153705133700893,NS
Performance_rev,Performance (reversed),26,control,med,paired t-test,1.2525048380501471,0.22197633821833704,0.9986851054030803,0.24563640808027198,Cohen's dz,7.5,0.4153705133700893,NS
Effort,Effort,26,short,control,Wilcoxon signed-rank,54.0,0.0020279850006027322,0.0008817284317807553,-0.6923076923076923,rank-biserial r,-26.923076923076923,0.006083955001808196,**
Effort,Effort,26,short,med,paired t-test,-1.0217101605032834,0.31670386794468297,0.1290773182092735,-0.20037384790931767,Cohen's dz,-6.653846153846154,0.31670386794468297,NS
Effort,Effort,26,control,med,paired t-test,3.2857686018116024,0.0030091680681556482,0.26145703482444466,0.6443922391456862,Cohen's dz,20.26923076923077,0.006083955001808196,**
Frustration,Frustration,26,short,control,paired t-test,-0.9411378666086885,0.3556400447643706,0.3283262412728781,-0.1845723210314918,Cohen's dz,-6.846153846153846,0.3556400447643706,NS
Frustration,Frustration,26,short,med,paired t-test,5.160302271097165,2.4629836070736658e-05,0.9381200606295852,1.0120185375523696,Cohen's dz,30.53846153846154,7.388950821220997e-05,***
Frustration,Frustration,26,control,med,Wilcoxon signed-rank,35.5,0.00037633362758525044,0.007750675242267954,0.7977207977207977,rank-biserial r,37.38461538461539,0.0007526672551705009,***
Overall,Overall Workload,26,short,control,Wilcoxon signed-rank,121.5,0.17008419309360123,0.023139188838401138,-0.3076923076923077,rank-biserial r,-8.692307692307692,0.17008419309360123,NS
Overall,Overall Workload,26,short,med,paired t-test,3.246004508174374,0.0033190195750964434,0.5984845675782469,0.6365938587842801,Cohen's dz,21.153846153846153,0.006638039150192887,**
Overall,Overall Workload,26,control,med,paired t-test,4.03397896704756,0.0004540202898514083,0.2790100100356274,0.7911283642460912,Cohen's dz,29.846153846153847,0.0013620608695542249,**
Raw_TLX,Raw TLX (mean of 6),26,short,control,Wilcoxon signed-rank,59.0,0.002181529998779297,0.029994114182087115,-0.6638176638176638,rank-biserial r,-16.794871794871792,0.004114660066198182,**
Raw_TLX,Raw TLX (mean of 6),26,short,med,paired t-test,3.438877583308993,0.002057330033099091,0.08959655156693652,0.6744193808518981,Cohen's dz,9.134615384615385,0.004114660066198182,**
Raw_TLX,Raw TLX (mean of 6),26,control,med,paired t-test,6.025113687851961,2.708490792294868e-06,0.06877869931324555,1.1816220102296975,Cohen's dz,25.929487179487182,8.125472376884603e-06,***
