metric,metric_label,condition,n,mean,sd,median,q1,q3,sem,ci95_low,ci95_high,minimum,maximum
Reading,Reading ability (mean of 3),short,26,3.6410256410256405,1.312920669256404,3.6666666666666665,2.6666666666666665,4.333333333333333,0.257484927397604,3.110725506297392,4.171325775753889,1.6666666666666667,6.333333333333333
Reading,Reading ability (mean of 3),control,26,4.243589743589744,1.4284651975154385,4.666666666666667,3.6666666666666665,5.0,0.2801450737161305,3.666620163907459,4.820559323272028,1.0,6.333333333333333
Reading,Reading ability (mean of 3),med,26,4.102564102564103,1.3458387909709137,4.0,3.0833333333333335,5.25,0.26394070220426197,3.5589680507336494,4.646160154394557,1.3333333333333333,6.666666666666667
Output,Writing output ability (mean of 3),short,26,4.538461538461538,1.1965763125663451,4.666666666666667,3.6666666666666665,5.333333333333333,0.23466792181841128,4.055153906382024,5.021769170541052,2.0,7.0
Output,Writing output ability (mean of 3),control,26,5.025641025641026,1.1310686271470176,5.333333333333333,4.333333333333333,6.0,0.22182080773212481,4.568792520313839,5.482489530968214,2.6666666666666665,6.666666666666667
Output,Writing output ability (mean of 3),med,26,4.948717948717948,0.9077067940318746,5.0,4.083333333333333,5.666666666666667,0.17801594828420292,4.5820872402216954,5.315348657214201,3.3333333333333335,6.666666666666667
Reading_Q1,Reading question 1,short,26,3.769230769230769,1.7042932214309205,4.0,3.0,5.0,0.33423939972923744,3.0808518396392857,4.457609698822252,1.0,6.0
Reading_Q1,Reading question 1,control,26,4.730769230769231,1.638479595422349,5.0,3.5,6.0,0.3213322857570065,4.068973000008338,5.392565461530124,1.0,7.0
Reading_Q1,Reading question 1,med,26,4.346153846153846,1.6478424121816428,5.0,3.0,5.0,0.3231684851938462,3.6805758918622375,5.011731800445454,1.0,7.0
Reading_Q2,Reading question 2,short,26,3.6923076923076925,1.5170822197687448,3.0,3.0,5.0,0.2975243016279034,3.079544922724026,4.30507046189136,1.0,6.0
Reading_Q2,Reading question 2,control,26,4.153846153846154,1.7132964178403618,4.5,3.0,5.75,0.33600507181294703,3.4618307545267504,4.845861553165558,1.0,7.0
Reading_Q2,Reading question 2,med,26,4.1923076923076925,1.6252810407860119,5.0,2.25,5.0,0.31874383623231795,3.5358424731347515,4.8487729114806335,1.0,7.0
Reading_Q3,Reading question 3,short,26,3.4615384615384617,1.7024868688073747,3.0,2.0,5.0,0.3338851448340109,2.773889133561199,4.149187789515724,1.0,7.0
Reading_Q3,Reading question 3,control,26,3.8461538461538463,1.5150526774289452,4.0,2.25,5.0,0.2971262756281226,3.234210826461726,4.458096865845966,1.0,6.0
Reading_Q3,Reading question 3,med,26,3.769230769230769,1.7042932214309205,4.0,2.0,5.0,0.33423939972923744,3.0808518396392857,4.457609698822252,1.0,7.0
Output_Q1,Output question 1,short,26,4.884615384615385,1.5053749852292109,5.0,4.0,6.0,0.29522832403685373,4.276581269396742,5.492649499834028,2.0,7.0
Output_Q1,Output question 1,control,26,5.269230769230769,1.2824255863851846,5.5,5.0,6.0,0.2515043496041818,4.751247865035814,5.7872136734257245,3.0,7.0
Output_Q1,Output question 1,med,26,5.153846153846154,1.3173399771450858,5.0,4.25,6.0,0.2583516249807179,4.6217610220319045,5.685931285660404,3.0,7.0
Output_Q2,Output question 2,short,26,4.6923076923076925,1.6677944901990958,5.0,3.0,6.0,0.3270814096226046,4.018670919301046,5.365944465314339,2.0,7.0
Output_Q2,Output question 2,control,26,5.423076923076923,1.4191004734852828,6.0,5.0,6.75,0.2783085002327007,4.849889837288727,5.996264008865119,3.0,7.0
Output_Q2,Output question 2,med,26,5.269230769230769,1.4299004806682822,6.0,4.25,6.0,0.28042655590089516,4.691681466137049,5.846780072324489,2.0,7.0
Output_Q3,Output question 3,short,26,4.038461538461538,1.5357283413616936,4.5,3.0,5.0,0.30118110693002914,3.418167437378231,4.658755639544846,2.0,7.0
Output_Q3,Output question 3,control,26,4.384615384615385,1.5251733823253821,5.0,3.0,5.0,0.2991111091572859,3.7685845237491558,5.000646245481614,1.0,7.0
Output_Q3,Output question 3,med,26,4.423076923076923,1.474396877996611,5.0,3.0,5.0,0.28915301737250004,3.8275551361533164,5.01859871000053,1.0,7.0
