source_row,participant_id,included,reason
2,A001,True,included
3,A002,True,included
4,A003,True,included
5,A004,True,included
6,A005,True,included
7,A010,True,included
8,A006,True,included
9,A007,True,included
10,A009,True,included
11,A008,True,included
12,A015,True,included
13,A011,True,included
14,A012,True,included
15,A013,True,included
16,A020,True,included
17,A018,True,included
18,A016,True,included
19,A019,True,included
20,A025,True,included
21,A024,True,included
22,A023,True,included
23,A021,True,included
24,A022,True,included
25,A029,True,included
26,A028,True,included
27,A027,True,included
