participant_id,video_condition,Total_task_sec,Total_answer_sec,Latency_sec,Writing_sec,Total_chars,general_Latency,general_Writing,general_Chars,content_Latency,content_Writing,content_Chars,inquiry_Latency,inquiry_Writing,inquiry_Chars,emotion_Latency,emotion_Writing,emotion_Chars,summary_Latency,summary_Writing,summary_Chars
A001,short,357.279,355.415,49.024,306.39099999999996,355,10.246,103.994,142,4.09,26.11,56,16.733,49.732,53,7.92,56.361,53,10.035,70.194,51
A001,med,293.653,285.908,33.873000000000005,252.03499999999997,323,6.948,81.084,103,8.64,71.815,81,5.562,27.141,52,6.013,47.788,47,6.71,24.207,40
A001,control,189.377,188.12,22.941,165.17899999999997,213,4.387,43.375,54,3.546,45.864,60,7.737,23.04,37,2.612,23.242,32,4.659,29.658,30
A002,short,665.954,664.497,199.061,465.436,157,22.551,48.509,32,136.976,66.523,14,6.184,52.21,36,13.604,198.404,40,19.746,99.79,35
A002,med,910.164,907.397,55.336,852.061,272,11.276,133.016,36,13.708,198.167,34,5.767,140.664,42,18.758,219.69,126,5.827,160.524,34
A002,control,729.773,725.652,163.791,561.8610000000001,239,16.201,78.644,43,10.378,126.665,60,18.455,29.374,19,16.205,192.166,69,102.552,135.012,48
A003,short,643.615,641.846,87.786,554.0600000000001,220,18.686,49.596,17,8.901,107.315,25,23.966,248.699,57,24.982,112.273,89,11.251,36.177,32
A003,med,877.882,876.496,71.28899999999999,805.207,322,21.051,346.211,155,5.841,90.139,55,10.673,23.289,24,25.782,270.773,38,7.942,74.795,50
A003,control,654.781,653.68,63.67300000000001,590.007,197,12.427,31.239,13,20.274,77.259,33,8.794,230.838,53,17.087,179.496,81,5.091,71.175,17
A004,short,603.928,601.328,48.30199999999999,553.026,311,12.738,16.829,5,4.976,185.528,87,14.835,139.49,66,9.096,145.919,124,6.657,65.26,29
A004,med,432.335,430.87,50.053000000000004,380.817,199,9.235,61.346,54,7.588,54.069,32,13.191,51.62,24,15.1,86.602,44,4.939,127.18,45
A004,control,501.92,500.087,41.08,459.007,322,10.875,92.018,53,5.968,81.295,57,9.849,85.93,62,3.015,98.963,88,11.373,100.801,62
