metric,label_en,unit,n,missing,mean,sd,sem,ci95_low,ci95_high,median,q1,q3,minimum,maximum,sum
total_videos,Videos watched,本,26,0,65.57692307692308,21.52426180276216,4.221255036460157,56.88308558832938,74.27076056551678,59.5,48.0,82.25,36.0,106.0,1705.0
total_view_sec,Total viewing time,秒,26,0,444.3954486110811,71.34359623467907,13.99163036040436,415.5791464679549,473.21175075420734,465.9032823750175,425.4867206336028,478.97468362266994,240.1000030267029,560.1538937421377,11554.281663888109
mean_view_sec,Mean viewing time per video,秒/本,26,0,7.3883626947609775,2.329984188028599,0.4569474938892487,6.447261714512069,8.329463675009885,7.302437188005252,5.314742285032721,9.013662206760866,3.6719567677845277,11.40538423303327,192.09743006378542
completion_rate,Completion rate,割合,26,0,0.44509477184285307,0.2980478272951546,0.05845198797545868,0.32471064912232395,0.5654788945633822,0.38376623376623376,0.221894943544428,0.7430344478216818,0.0327868852459016,0.9375,11.57246406791418
early_skip_rate,Early-skip rate,割合,26,0,0.21082385457298988,0.147077561155015,0.028844282859271448,0.15141794199779932,0.2702297671481805,0.18086109365179126,0.11015769944341366,0.2860644257703081,0.0,0.5980392156862745,5.481420218897737
switch_per_min,Switches per minute,回/分,26,0,6.363152924054845,2.0696064719071745,0.4058832225274077,5.527220779343904,7.199085068765785,5.685176039427871,4.6733487230791235,7.995312341455592,3.7427284133683134,10.092565143677492,165.44197602542596
view_sec_var,Viewing-time variance,秒²,26,0,37.172055568509506,75.21528797868903,14.75093158168601,6.791943287001043,67.55216785001797,15.725042943037266,12.511297111073658,30.332516684462856,6.698586024323029,390.343833216364,966.4734447812472
max_consecutive_skip,Maximum consecutive skips,本,26,0,2.8846153846153846,1.8831234282844675,0.3693108887433171,2.1240053712969407,3.6452253979338285,2.0,2.0,4.0,0.0,8.0,75.0
late_skip_increase,Late minus early skip rate,割合,26,0,0.05900217950363714,0.1580906645088806,0.031004130124908942,-0.004852021783192627,0.1228563807904669,0.04077935222672065,-0.038392857142857076,0.22503019323671494,-0.25,0.27662928378898727,1.5340566670945657
session_minutes,Session duration,分,26,0,10.13845705128205,0.6231106514393571,0.12220205272372285,9.886777212471952,10.390136890092148,10.08815,10.000466666666666,10.209920833333333,8.123983333333333,11.671516666666667,263.5998833333333
unique_category_count,Unique categories,種類,26,0,11.23076923076923,1.3944946699845735,0.273482905148172,10.667520644097598,11.794017817440862,11.5,10.0,12.0,9.0,14.0,292.0
top_category_rate,Most frequent category share,割合,26,0,0.4037969568188476,0.06763018857631953,0.013263371202254352,0.3764805324883269,0.43111338114936826,0.3897213897213897,0.3491463893249608,0.4229166666666667,0.3269230769230769,0.5733333333333334,10.498720877290037
top_view_time_category_rate,Top viewing-time category share,割合,26,0,0.4149175214428599,0.075050749286157,0.014718662889225936,0.3846038677775199,0.44523117510819993,0.3819993887371813,0.3607023805816322,0.4643860571312365,0.32408660210730295,0.5571201574926249,10.787855557514359
